,Date,Item_IDs,Quantities,Prices,Total_Order_Price,Order_ID
0,2022-12-07,871554,30,60.0,4232.6,1
0,2022-12-07,835504,25,31.0,4232.6,1
0,2022-12-07,875864,199,3.6,4232.6,1
0,2022-12-07,875981,19,12.8,4232.6,1
0,2022-12-07,880187,3,70.0,4232.6,1
0,2022-12-07,876123,10,18.0,4232.6,1
0,2022-12-07,876016,13,13.2,4232.6,1
0,2022-12-07,875837,19,5.6,4232.6,1
0,2022-12-07,894316,1,30.0,4232.6,1
1,2022-12-07,"[895464, 894182, 875981, 875837, 875837, 875864, 876123, 876065, 895363, 894368, 871554]","[7, 28, 46, 200, 100, 200, 28, 17, 6, 6, 6]","[175.48, 15.6, 12.9, 5.6, 5.5, 3.6, 17.6, 19.4, 58.0, 55.0, 59.0]",6503.16,2
2,2022-12-07,875971,67,13.7,917.9,3
3,2022-12-07,"[895461, 895380, 875837, 894283, 875971, 876034, 876160]","[19, 10, 100, 100, 100, 41, 1]","[14.8, 28.4, 5.6, 1.2, 13.5, 20.4, 570.0]",4001.6,4
4,2022-12-07,"[894141, 894465, 894280, 894283]","[32, 10, 28, 659]","[15.9, 27.1, 11.7, 1.2]",1898.2,5
5,2022-12-07,894318,16,21.7,347.2,6
6,2022-12-07,894316,21,30,630.0,7
7,2022-12-07,894283,100,1.2,120.0,8
8,2022-12-08,894283,95,1.19,113.05,9
9,2022-12-08,871474,5,52.1,260.5,10
10,2022-12-08,876016,14,13.0,1278.36,11
11,2022-12-08,894383,1,11.8,1278.36,11
12,2022-12-08,876070,3,71.0,1278.36,11
13,2022-12-08,894346,16,16.6,1278.36,11
14,2022-12-08,895431,16,27.4,1278.36,11
15,2022-12-08,894283,142,1.18,1278.36,11
16,2022-12-08,871554,4,54.0,5576.1,12
17,2022-12-08,895464,8,179.0,5576.1,12
18,2022-12-08,871726,20,20.4,5576.1,12
19,2022-12-08,871094,3,146.0,5576.1,12
20,2022-12-08,871692,12,35.2,5576.1,12
21,2022-12-08,875983,25,8.7,5576.1,12
22,2022-12-08,876043,32,14.0,5576.1,12
23,2022-12-08,875977,46,9.7,5576.1,12
24,2022-12-08,875982,57,7.3,5576.1,12
25,2022-12-08,895634,49,23.1,5576.1,12
26,2022-12-08,875971,88,14.2,1249.6,13
