,Timestamp,Total_invested,Total_value,Return_relative,Return_absolute
0,2022-12-07 03:29:17.205989,56128.0,56134.97,0.01,6.97
1,2022-12-07 20:28:51.622908,56128.0,56529.34,0.72,401.34
2,2022-12-07 20:56:40.341161,56128.0,56527.61,0.71,399.61
3,2022-12-07 21:18:12.585676,56128.0,56530.91,0.72,402.91
4,2022-12-07 21:25:10.042854,56128.0,56530.91,0.72,402.91
5,2022-12-07 21:34:07.722386,56128.0,56512.22,0.68,384.22
6,2022-12-07 22:00:09.342436,56128.0,56509.0,0.68,381.0
7,2022-12-08 00:33:43.934975,56128.0,56592.79,0.83,464.79
8,2022-12-08 01:48:20.430020,56128.0,56303.28,0.31,175.28
9,2022-12-08 03:03:03.566542,56128.0,56349.49,0.39,221.49
10,2022-12-08 15:35:13.243200,56128.0,55294.12,-1.49,-833.88
11,2022-12-08 16:09:54.178674,56128.0,56796.68,1.19,668.68
12,2022-12-08 16:14:52.568269,56128.0,55290.58,-1.49,-837.42
13,2022-12-08 16:19:04.105322,56128.0,56802.84,1.2,674.84
