,Position,Rarity,Tournament,Rating,Value,Quantity,Percentage,Position_Value,Position_purchase_price,URL,Gain_relative,Gain_absolute
0,Stockholm 2021 Contenders Sticker Capsule,None,None,None,5.5,0,21.0,9999.36,0,https://buff.163.com/goods/875837?from=market#tab=selling&sort_by=default,0,0
1,Stockholm 2021 Challengers Sticker Capsule,None,None,None,12.44,0,21.0,9999.36,0,https://buff.163.com/goods/875971?from=market#tab=selling&sort_by=default,0,0
2,Antwerp 2022 Contenders Autograph Capsule,None,None,None,1.18,0,15.0,7142.4,0,https://buff.163.com/goods/894283?from=market#tab=selling&sort_by=default,0,0
3,Stockholm 2021 Legends Sticker Capsule,None,None,None,3.24,0,10.0,4761.6,0,https://buff.163.com/goods/875864?from=market#tab=selling&sort_by=default,0,0
4,Sticker | rox (Holo) | Antwerp 2022,Holo,AW,S,179.5,0,3.0,1428.48,0,https://buff.163.com/goods/895464?from=market#tab=selling&sort_by=default,0,0
5,Sticker | max (Holo) | Antwerp 2022,Holo,AW,A+,23.9,0,2.0,952.32,0,https://buff.163.com/goods/895634?from=market#tab=selling&sort_by=default,0,0
6,Sticker | ropz (Holo) | Antwerp 2022,Holo,AW,A,28.17,0,1.8,857.09,0,https://buff.163.com/goods/895431?from=market#tab=selling&sort_by=default,0,0
7,Sticker | FURIA (Holo) | Antwerp 2022,Holo,AW,A,15.7,0,0.8,380.93,0,https://buff.163.com/goods/894182?from=market#tab=selling&sort_by=default,0,0
8,Sticker | Cloud9 (Holo) | Antwerp 2022,Holo,AW,A,30.3,0,1.5,714.24,0,https://buff.163.com/goods/894316?from=market#tab=selling&sort_by=default,0,0
9,Sticker | Team Liquid (Holo) | Stockholm 2021,Holo,SH,A,7.03,0,0.75,357.12,0,https://buff.163.com/goods/875982?from=market#tab=selling&sort_by=default,0,0
10,Sticker | MOUZ (Gold) | Stockholm 2021,Gold,SH,A,580.0,0,1.0,476.16,0,https://buff.163.com/goods/876160?from=market#tab=selling&sort_by=default,0,0
11,Sticker | Virtus.Pro (Holo) | Stockholm 2021,Holo,SH,A,17.88,0,1.75,833.28,0,https://buff.163.com/goods/875980?from=market#tab=selling&sort_by=default,0,0
12,Sticker | Team Liquid (Holo) | Antwerp 2022,Holo,AW,A-,11.0,0,0.75,357.12,0,https://buff.163.com/goods/895343?from=market#tab=selling&sort_by=default,0,0
13,Sticker | 9z Team (Holo) | Antwerp 2022,Holo,AW,A-,11.1,0,1.2,571.39,0,https://buff.163.com/goods/894383?from=market#tab=selling&sort_by=default,0,0
14,Sticker | Entropiq (Holo) | Stockholm 2021,Holo,SH,A-,12.5,0,1.5,714.24,0,https://buff.163.com/goods/875981?from=market#tab=selling&sort_by=default,0,0
15,Sticker | FURIA (Holo) | Stockholm 2021,Holo,SH,A-,15.5,0,0.8,380.93,0,https://buff.163.com/goods/875969?from=market#tab=selling&sort_by=default,0,0
16,Sticker | MOUZ (Holo) | Stockholm 2021,Holo,SH,A-,60.29,0,2.0,952.32,0,https://buff.163.com/goods/876070?from=market#tab=selling&sort_by=default,0,0
17,Sticker | paiN Gaming (Holo) | Stockholm 2021,Holo,SH,A-,16.75,0,1.5,714.24,0,https://buff.163.com/goods/876123?from=market#tab=selling&sort_by=default,0,0
18,Sticker | Natus Vincere (Holo) | Stockholm 2021,Holo,SH,A-B,10.2,0,0.8,380.93,0,https://buff.163.com/goods/875977?from=market#tab=selling&sort_by=default,0,0
19,Sticker | Copenhagen Flames (Holo) | Stockholm 2021,Holo,SH,A-B,18.09,0,0.8,380.93,0,https://buff.163.com/goods/876034?from=market#tab=selling&sort_by=default,0,0
20,Sticker | Imperial Esports (Holo) | Antwerp 2022,Holo,AW,A-B,17.1,0,1.1,523.78,0,https://buff.163.com/goods/894346?from=market#tab=selling&sort_by=default,0,0
21,Sticker | Movistar Riders (Holo) | Stockholm 2021,Holo,SH,A-B,18.07,0,1.0,476.16,0,https://buff.163.com/goods/876065?from=market#tab=selling&sort_by=default,0,0
22,Sticker | Natus Vincere (Holo) | Antwerp 2022,Holo,AW,B-,10.9,0,0.6,285.7,0,https://buff.163.com/goods/894280?from=market#tab=selling&sort_by=default,0,0
23,Sticker | G2 Esports (Holo) | Stockholm 2021,Holo,SH,B-,8.79,0,0.5,238.08,0,https://buff.163.com/goods/875983?from=market#tab=selling&sort_by=default,0,0
24,Sticker | Tyloo (Holo) | Stockholm 2021,Holo,SH,B+,14.05,0,1.0,476.16,0,https://buff.163.com/goods/876043?from=market#tab=selling&sort_by=default,0,0
25,Sticker | FaZe Clan (Holo) | Stockholm 2021,Holo,SH,B-C,8.91,0,0.8,380.93,0,https://buff.163.com/goods/876072?from=market#tab=selling&sort_by=default,0,0
26,Sticker | G2 Esports (Holo) | Antwerp 2022,Holo,AW,B-C,12.3,0,0.5,238.08,0,https://buff.163.com/goods/895340?from=market#tab=selling&sort_by=default,0,0
27,Sticker | Heroic (Holo) | Antwerp 2022,Holo,AW,B-C,2.88,0,0.6,285.7,0,https://buff.163.com/goods/894259?from=market#tab=selling&sort_by=default,0,0
28,Sticker | Astralis (Holo) | Stockholm 2021,Holo,SH,C+,13.71,0,0.6,285.7,0,https://buff.163.com/goods/876016?from=market#tab=selling&sort_by=default,0,0
29,Sticker | Liquid Fire (Holo),Holo,None,S,50.8,0,3.45,1642.75,0,https://buff.163.com/goods/871554?from=market#tab=selling&sort_by=default,0,0
30,Sticker | Eternal Fire (Holo) | Antwerp 2022,Holo,SH,A-,10.25,0,0.9,428.54,0,https://buff.163.com/goods/894364?from=market#tab=selling&sort_by=default,0,0
