Position,Rarity,Tournament
Stockholm Contenders,None,None
Stockholm Challengers,None,None
Antwerp Contenders Autograph,None,None
Stockholm Legends,None,None
Liquid Fire,Holo,S
Rox,Holo,AW
Max,Holo,AW
Ropz,Holo,AW
Furia,Holo,AW
C9,Holo,AW
Liquid,Holo,SH
Mouz,Gold,SH
VP,Holo,SH
Liquid,Holo,AW
9z,Holo,AW
Eternal Fire,Holo,SH
Entropiq,Holo,SH
Furia,Holo,SH
Mouz,Holo,SH
paiN,Holo,SH
Natus,Holo,SH
Copenhagen Flames,Holo,SH
Imperial,Holo,AW
Movistar Riders,Holo,SH
Natus,Holo,AW
G2,Holo,SH
Tyloo,Holo,SH
Faze,Holo,SH
G2,Holo,AW
Heroic,Holo,AW
Astralis,Holo,SH
